"","Z1","Z11","Z12","Z13","Z14","Z15","Z16","Z18","Z2","Z21","Z22","Z23","Z5","Z6","Z7","Z8","Z9"
"hsa-miR-425-5p",11.2977340416746,10.9154360294453,11.3932786738747,11.8123881451156,11.2893297065894,11.3699803909468,10.5061563543763,10.5737421858246,11.0655491548969,10.5830005050322,9.9976049282872,10.3245162912865,10.3051125639391,9.22264477388118,11.1553452585954,10.7461569455518,11.108501063848
"hsa-miR-148b-5p",6.55767028503242,7.63655500314246,0,0,0,5.27782677683744,0,0,5.24543638722659,6.51050824562551,8.19377375627302,0,0,0,7.03646141401767,0,6.94964140510254
"hsa-miR-191-5p",11.9176857230575,12.748437397531,12.2410371787704,13.1305093206747,12.4087577463422,12.6915813938714,12.7883019475805,12.3100450162101,12.5994447617498,11.7044825437073,11.5816263069407,11.8262884517164,12.1467487067037,12.0699416751617,12.8458045244811,13.0991181213662,12.6660649585025
"hsa-miR-223-3p",6.55767028503242,10.5371484786125,8.58913832434103,7.48023941397756,8.17826504204895,9.32985861798218,8.92317646636375,7.41137008275532,8.38115344578291,9.08222344499703,0,6.75187694778984,9.5353991170024,5.39690076296192,9.34957079508093,9.57728151309223,9.26220201105916
"hsa-miR-30a-5p",11.7906081508987,12.2734342790821,11.9076909299057,11.9802887009027,12.6109119011447,12.0349118862064,12.8652533348355,12.5730320701212,12.6080053997005,11.852539007541,13.1431938819868,12.761003934568,12.5336969678577,13.045412198752,12.3832516531278,12.6417067041386,12.4927616928986
"hsa-miR-374a-3p",5.57290463979661,0,0,0,0,0,0,0,5.24543638722659,0,0,0,5.47871232547782,6.69813661597577,0,0,0
"hsa-miR-15b-5p",0,0,7.27281855370779,5.50427729987646,5.6179924763956,0,6.61308716979282,7.41137008275532,5.24543638722659,6.51050824562551,7.19869259169408,0,7.0419431427318,5.39690076296192,0,8.57916881521487,7.94379385612836
"hsa-miR-106b-3p",10.1285252164954,9.33196668791478,8.58913832434103,9.28181150935135,8.91323706631545,10.4506368204034,8.18819076405438,8.40712644393008,9.45687674242173,11.4020206376001,10.6491683616655,9.98777734870722,9.14897407488491,9.36443737314766,9.83436564658401,8.57916881521487,7.94379385612836
"hsa-miR-23a-3p",5.57290463979661,9.0913655455798,6.28211758279394,7.80055065252221,6.60322927716994,6.25911245418331,7.6056993133149,7.41137008275532,6.22629432018666,8.08488265442776,0,0,7.77452284025943,6.69813661597577,0,6.59044107252894,8.5268018950035
