"","miRNA1","miRNA2","miRNA3","sensitivity_batch1","specificity_batch1","AUC_batch1","sensitivity*specificity_batch1","sensitivity_batch2","specificity_batch2","AUC_batch2","sensitivity*specificity_batch2"
"1","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-let-7a-5p",1,0.666666666666667,0.863636363636364,0.666666666666667,0.740740740740741,0.388888888888889,0.596707818930041,0.288065843621399
"2","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-miR-15b-5p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.851851851851852,0.5,0.734567901234568,0.425925925925926
"3","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-miR-374a-3p",1,0.833333333333333,0.909090909090909,0.833333333333333,0.592592592592593,0.833333333333333,0.701646090534979,0.493827160493827
"4","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-let-7f-5p",1,0.666666666666667,0.833333333333333,0.666666666666667,0.703703703703704,0.388888888888889,0.563786008230453,0.273662551440329
"5","hsa-miR-23a-3p","hsa-let-7a-5p","hsa-miR-15b-5p",0.909090909090909,0.833333333333333,0.878787878787879,0.757575757575758,0.481481481481481,0.722222222222222,0.569958847736626,0.347736625514403
"6","hsa-miR-23a-3p","hsa-let-7a-5p","hsa-miR-374a-3p",0.727272727272727,1,0.924242424242424,0.727272727272727,0.148148148148148,0.888888888888889,0.58641975308642,0.131687242798354
"7","hsa-miR-23a-3p","hsa-let-7a-5p","hsa-let-7f-5p",0.818181818181818,0.833333333333333,0.863636363636364,0.681818181818182,0.37037037037037,0.666666666666667,0.518518518518518,0.246913580246914
"8","hsa-miR-23a-3p","hsa-miR-15b-5p","hsa-miR-374a-3p",0.818181818181818,1,0.901515151515151,0.818181818181818,0.185185185185185,0.944444444444444,0.623456790123457,0.174897119341564
"9","hsa-miR-23a-3p","hsa-miR-15b-5p","hsa-let-7f-5p",0.909090909090909,0.833333333333333,0.833333333333333,0.757575757575758,0.259259259259259,0.888888888888889,0.524691358024691,0.230452674897119
"10","hsa-miR-23a-3p","hsa-miR-374a-3p","hsa-let-7f-5p",0.727272727272727,1,0.924242424242424,0.727272727272727,0.0740740740740741,0.944444444444444,0.549382716049383,0.0699588477366255
"11","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-15b-5p",1,0.833333333333333,0.939393939393939,0.833333333333333,0.666666666666667,0.666666666666667,0.724279835390946,0.444444444444444
"12","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-374a-3p",1,0.833333333333333,0.893939393939394,0.833333333333333,0.555555555555556,0.722222222222222,0.720164609053498,0.401234567901235
"13","hsa-miR-223-3p","hsa-let-7a-5p","hsa-let-7f-5p",1,0.666666666666667,0.833333333333333,0.666666666666667,0.814814814814815,0.444444444444444,0.664609053497942,0.362139917695473
"14","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-miR-374a-3p",1,0.666666666666667,0.833333333333333,0.666666666666667,0.740740740740741,0.611111111111111,0.675925925925926,0.452674897119342
"15","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-let-7f-5p",1,0.833333333333333,0.939393939393939,0.833333333333333,0.740740740740741,0.555555555555556,0.713991769547325,0.411522633744856
"16","hsa-miR-223-3p","hsa-miR-374a-3p","hsa-let-7f-5p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.222222222222222,0.888888888888889,0.664609053497942,0.197530864197531
"17","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-miR-374a-3p",0.909090909090909,0.833333333333333,0.893939393939394,0.757575757575758,0.222222222222222,0.944444444444444,0.6440329218107,0.209876543209877
"18","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-let-7f-5p",1,0.666666666666667,0.818181818181818,0.666666666666667,0.592592592592593,0.611111111111111,0.648148148148148,0.362139917695473
"19","hsa-let-7a-5p","hsa-miR-374a-3p","hsa-let-7f-5p",0.727272727272727,1,0.863636363636364,0.727272727272727,0.111111111111111,0.944444444444444,0.594650205761317,0.104938271604938
"20","hsa-miR-15b-5p","hsa-miR-374a-3p","hsa-let-7f-5p",1,0.833333333333333,0.863636363636364,0.833333333333333,0.111111111111111,0.888888888888889,0.648148148148148,0.0987654320987654
